0.718367347	0
1.342403628	1
1.962811791	2
2.576689342	3
3.206530612	4
3.810249433	5
4.424852608	6
5.050544218	7
5.667120181	8
6.280997732	9
6.897052154	10
7.512380952	11
8.133514739	12
8.743764172	13
9.363446712	14
9.981678005	15
10.584671202	16
11.177505669	17
11.789274376	18
12.405260771	19
13.011882086	20
13.606893424	21
14.212789116	22
14.821587302	23
15.430385488	24
16.055873016	25
16.638548753	26
17.261133787	27
17.859909297	28
18.487437642	29
19.099863946	30
19.710272109	31
20.315283447	32
20.940045351	33
21.510385488	34
22.118594104	35
22.721451247	36
23.322267574	37
23.923083900	38
24.531882086	39
25.131972789	40
25.730612245	41
26.314013605	42
26.943854875	43
27.538866213	44
28.138956916	45
28.743401361	46
29.352199546	47
